iter	Passed	Remaining
0	42	426198
1	76	384175
2	166	554942
3	210	526272
4	244	489094
5	278	464084
6	313	447025
7	347	433411
8	386	429219
9	420	419749
10	453	412166
11	485	403989
12	518	398020
13	550	392459
14	583	388246
15	613	382777
16	653	383480
17	685	379927
18	730	383562
19	762	380560
20	795	377996
21	828	375810
22	860	373197
23	894	371860
24	929	370837
25	960	368301
26	993	366902
27	1028	366251
28	1059	364141
29	1093	363402
30	1133	364455
31	1176	366522
32	1217	367749
33	1256	368270
34	1296	369238
35	1336	369951
36	1370	368978
37	1411	369953
38	1450	370446
39	1482	369126
40	1515	368038
41	1552	368149
42	1581	366244
43	1614	365415
44	1647	364566
45	1684	364609
46	1721	364571
47	1753	363646
48	1785	362668
49	1815	361234
50	1844	359850
51	1877	359120
52	1910	358632
53	1947	358749
54	1981	358237
55	2014	357726
56	2049	357464
57	2081	356814
58	2115	356512
59	2145	355494
60	2175	354526
61	2211	354509
62	2244	354058
63	2278	353807
64	2312	353454
65	2342	352621
66	2376	352315
67	2406	351426
68	2455	353436
69	2484	352505
70	2520	352445
71	2552	351971
72	2586	351732
73	2620	351511
74	2654	351230
75	2693	351773
76	2730	351841
77	2762	351432
78	2794	350998
79	2828	350738
80	2859	350139
81	2891	349734
82	2926	349698
83	2958	349231
84	2989	348715
85	3020	348208
86	3055	348185
87	3084	347477
88	3115	346926
89	3147	346569
90	3178	346129
91	3209	345676
92	3243	345484
93	3278	345518
94	3311	345221
95	3340	344637
96	3373	344370
97	3404	343989
98	3439	343983
99	3472	343779
100	3502	343298
101	3536	343144
102	3569	342979
103	3601	342685
104	3633	342447
105	3669	342484
106	3704	342511
107	3740	342603
108	3777	342757
109	3808	342407
110	3841	342220
111	3874	342025
112	3905	341709
113	3939	341608
114	3968	341158
115	4006	341358
116	4043	341540
117	4079	341673
118	4110	341295
119	4144	341232
120	4177	341093
121	4218	341596
122	4252	341486
123	4285	341346
124	4319	341241
125	4353	341200
126	4393	341533
127	4425	341332
128	4458	341144
129	4490	340952
130	4521	340640
131	4556	340635
132	4590	340560
133	4620	340178
134	4652	339947
135	4687	340007
136	4718	339719
137	4749	339421
138	4784	339391
139	4823	339690
140	4863	340031
141	4895	339871
142	4928	339739
143	4960	339538
144	4993	339375
145	5030	339499
146	5065	339500
147	5097	339320
148	5128	339051
149	5163	339088
150	5200	339174
151	5232	338988
152	5264	338825
153	5297	338703
154	5332	338728
155	5365	338604
156	5398	338481
157	5431	338354
158	5465	338280
159	5498	338158
160	5534	338215
161	5565	337989
162	5599	337911
163	5631	337779
164	5661	337459
165	5697	337507
166	5734	337647
167	5768	337569
168	5805	337715
169	5837	337522
170	5867	337277
171	5900	337179
172	5935	337142
173	5968	337044
174	6001	336944
175	6034	336809
176	6068	336766
177	6098	336526
178	6134	336591
179	6170	336617
180	6204	336579
181	6238	336560
182	6268	336254
183	6303	336299
184	6338	336290
185	6370	336113
186	6404	336090
187	6435	335878
188	6472	335970
189	6504	335815
190	6542	335999
191	6577	336003
192	6613	336048
193	6649	336114
194	6689	336360
195	6722	336243
196	6756	336218
197	6788	336075
198	6825	336179
199	6858	336056
200	6893	336076
201	6927	335999
202	6957	335762
203	6991	335722
204	7023	335600
205	7056	335494
206	7087	335296
207	7121	335267
208	7153	335102
209	7188	335105
210	7221	335039
211	7257	335095
212	7291	335050
213	7322	334860
214	7359	334961
215	7394	334935
216	7426	334822
217	7457	334608
218	7490	334531
219	7524	334519
220	7559	334520
221	7596	334582
222	7633	334668
223	7668	334664
224	7700	334555
225	7732	334399
226	7764	334305
227	7796	334138
228	7827	333991
229	7858	333829
230	7892	333777
231	7924	333656
232	7960	333701
233	7993	333611
234	8027	333571
235	8065	333672
236	8133	335044
237	8180	335538
238	8222	335797
239	8263	336058
240	8301	336157
241	8339	336285
242	8375	336304
243	8411	336308
244	8444	336229
245	8478	336187
246	8513	336168
247	8544	335991
248	8575	335838
249	8609	335785
250	8646	335836
251	8682	335844
252	8714	335719
253	8751	335801
254	8781	335573
255	8816	335570
256	8847	335426
257	8880	335334
258	8915	335329
259	8951	335333
260	8983	335219
261	9018	335190
262	9050	335071
263	9082	334942
264	9117	334951
265	9149	334821
266	9185	334855
267	9219	334808
268	9257	334871
269	9291	334838
270	9324	334743
271	9355	334612
272	9390	334575
273	9421	334421
274	9453	334319
275	9489	334337
276	9526	334399
277	9557	334228
278	9591	334201
279	9624	334094
280	9659	334105
281	9690	333950
282	9727	333996
283	9760	333928
284	9793	333838
285	9823	333661
286	9860	333719
287	9893	333622
288	9921	333373
289	9953	333279
290	9989	333308
291	10024	333272
292	10057	333189
293	10090	333137
294	10124	333072
295	10157	333015
296	10193	333025
297	10228	332997
298	10260	332894
299	10296	332929
300	10328	332807
301	10360	332700
302	10395	332700
303	10428	332599
304	10459	332485
305	10494	332475
306	10527	332386
307	10563	332421
308	10594	332282
309	10630	332297
310	10669	332402
311	10704	332398
312	10741	332446
313	10776	332415
314	10812	332431
315	10846	332390
316	10879	332323
317	10913	332270
318	10946	332216
319	10981	332176
320	11015	332143
321	11048	332062
322	11081	331996
323	11119	332064
324	11155	332082
325	11190	332071
326	11224	332018
327	11257	331961
328	11291	331917
329	11320	331731
330	11351	331608
331	11383	331479
332	11416	331409
333	11449	331362
334	11483	331305
335	11522	331395
336	11557	331407
337	11588	331276
338	11619	331149
339	11655	331158
340	11689	331123
341	11728	331205
342	11762	331176
343	11797	331141
344	11829	331053
345	11863	331014
346	11896	330940
347	11933	330982
348	11968	330975
349	12002	330923
350	12036	330880
351	12075	330966
352	12108	330907
353	12142	330878
354	12179	330899
355	12210	330782
356	12241	330663
357	12275	330613
358	12308	330540
359	12343	330524
360	12377	330502
361	12411	330457
362	12443	330349
363	12476	330286
364	12510	330243
365	12545	330229
366	12581	330250
367	12616	330234
368	12649	330147
369	12685	330158
370	12716	330041
371	12751	330025
372	12784	329962
373	12822	330012
374	12855	329949
375	12886	329838
376	12918	329750
377	12952	329710
378	12986	329668
379	13019	329599
380	13053	329564
381	13085	329473
382	13120	329453
383	13153	329391
384	13188	329373
385	13222	329326
386	13257	329323
387	13292	329307
388	13325	329237
389	13361	329247
390	13396	329220
391	13429	329162
392	13460	329054
393	13497	329086
394	13535	329129
395	13571	329141
396	13604	329072
397	13641	329098
398	13677	329123
399	13710	329049
400	13742	328954
401	13773	328858
402	13807	328801
403	13839	328718
404	13870	328621
405	13906	328612
406	13942	328632
407	13976	328582
408	14007	328475
409	14042	328450
410	14078	328466
411	14113	328450
412	14145	328363
413	14175	328234
414	14209	328186
415	14243	328137
416	14276	328078
417	14310	328046
418	14338	327874
419	14375	327887
420	14408	327836
421	14441	327778
422	14474	327710
423	14508	327662
424	14543	327657
425	14574	327560
426	14606	327474
427	14645	327531
428	14678	327481
429	14711	327414
430	14743	327340
431	14776	327266
432	14811	327249
433	14843	327168
434	14877	327128
435	14911	327088
436	14945	327056
437	14979	327013
438	15012	326953
439	15043	326860
440	15077	326819
441	15108	326723
442	15142	326675
443	15181	326743
444	15216	326723
445	15248	326649
446	15284	326641
447	15318	326610
448	15350	326532
449	15382	326447
450	15418	326456
451	15451	326406
452	15486	326383
453	15523	326411
454	15554	326296
455	15586	326227
456	15621	326211
457	15654	326155
458	15686	326071
459	15718	325988
460	15754	326001
461	15791	326005
462	15824	325959
463	15861	325984
464	15895	325943
465	15929	325913
466	15961	325821
467	15994	325777
468	16025	325671
469	16058	325607
470	16089	325507
471	16119	325391
472	16155	325402
473	16189	325352
474	16221	325279
475	16256	325258
476	16289	325211
477	16322	325146
478	16362	325238
479	16399	325261
480	16428	325122
481	16463	325095
482	16498	325090
483	16533	325060
484	16568	325056
485	16604	325060
486	16632	324905
487	16670	324929
488	16699	324809
489	16733	324768
490	16767	324736
491	16801	324695
492	16833	324612
493	16867	324587
494	16903	324589
495	16934	324490
496	16968	324449
497	17002	324416
498	17035	324362
499	17069	324322
500	17103	324274
501	17134	324191
502	17167	324142
503	17203	324135
504	17235	324062
505	17270	324047
506	17304	324002
507	17336	323931
508	17371	323924
509	17408	323940
510	17441	323879
511	17474	323818
512	17510	323824
513	17542	323756
514	17577	323733
515	17608	323641
516	17647	323697
517	17680	323649
518	17713	323594
519	17744	323489
520	17777	323438
521	17811	323404
522	17848	323425
523	17883	323396
524	17915	323326
525	17948	323273
526	17975	323107
527	18010	323093
528	18051	323188
529	18087	323183
530	18120	323136
531	18156	323130
532	18187	323043
533	18219	322966
534	18251	322905
535	18287	322898
536	18316	322776
537	18349	322711
538	18383	322681
539	18415	322619
540	18451	322612
541	18484	322563
542	18515	322470
543	18547	322393
544	18582	322372
545	18615	322321
546	18650	322315
547	18682	322235
548	18714	322171
549	18750	322162
550	18784	322126
551	18818	322089
552	18851	322041
553	18883	321969
554	18920	321997
555	18952	321926
556	18986	321876
557	19019	321828
558	19055	321824
559	19087	321768
560	19121	321726
561	19154	321675
562	19191	321689
563	19228	321708
564	19262	321662
565	19295	321616
566	19332	321622
567	19368	321622
568	19400	321559
569	19433	321499
570	19465	321442
571	19502	321442
572	19535	321399
573	19569	321358
574	19602	321303
575	19633	321228
576	19664	321146
577	19697	321095
578	19730	321036
579	19762	320974
580	19799	320976
581	19830	320894
582	19860	320803
583	19893	320753
584	19928	320730
585	19962	320700
586	19995	320646
587	20028	320596
588	20063	320565
589	20097	320540
590	20128	320456
591	20162	320426
592	20192	320319
593	20226	320292
594	20257	320211
595	20289	320145
596	20320	320061
597	20354	320024
598	20390	320012
599	20421	319935
600	20456	319925
601	20490	319890
602	20522	319809
603	20551	319703
604	20583	319632
605	20615	319568
606	20651	319569
607	20689	319597
608	20723	319569
609	20753	319471
610	20785	319396
611	20825	319462
612	20858	319404
613	20891	319359
614	20927	319353
615	20960	319305
616	20994	319278
617	21029	319248
618	21063	319215
619	21095	319151
620	21129	319122
621	21163	319085
622	21194	319006
623	21225	318929
624	21259	318889
625	21294	318866
626	21326	318816
627	21358	318740
628	21389	318660
629	21423	318629
630	21455	318562
631	21491	318566
632	21528	318580
633	21565	318577
634	21605	318643
635	21642	318650
636	21677	318631
637	21708	318554
638	21745	318554
639	21778	318504
640	21811	318460
641	21847	318449
642	21879	318392
643	21912	318342
644	21946	318310
645	21976	318216
646	22012	318212
647	22042	318118
648	22076	318084
649	22112	318073
650	22147	318059
651	22182	318047
652	22214	317982
653	22249	317961
654	22284	317935
655	22321	317944
656	22361	317997
657	22394	317942
658	22428	317914
659	22460	317847
660	22492	317788
661	22525	317735
662	22557	317675
663	22590	317633
664	22623	317583
665	22658	317552
666	22694	317555
667	22727	317509
668	22760	317456
669	22796	317444
670	22833	317453
671	22868	317441
672	22901	317386
673	22937	317378
674	22971	317345
675	23006	317326
676	23074	317756
677	23110	317752
678	23143	317708
679	23186	317784
680	23222	317780
681	23256	317752
682	23293	317750
683	23327	317716
684	23363	317707
685	23398	317685
686	23432	317656
687	23463	317573
688	23499	317565
689	23532	317512
690	23567	317495
691	23602	317468
692	23633	317399
693	23672	317429
694	23705	317387
695	23738	317326
696	23769	317253
697	23799	317167
698	23834	317146
699	23869	317121
700	23900	317045
701	23934	317019
702	23970	317006
703	24000	316920
704	24035	316899
705	24073	316909
706	24106	316858
707	24140	316827
708	24176	316818
709	24216	316855
710	24253	316858
711	24287	316834
712	24318	316751
713	24347	316660
714	24380	316603
715	24414	316572
716	24449	316546
717	24481	316492
718	24514	316441
719	24547	316395
720	24579	316329
721	24618	316358
722	24657	316389
723	24693	316380
724	24725	316313
725	24756	316240
726	24790	316200
727	24821	316136
728	24856	316115
729	24889	316058
730	24925	316054
731	24955	315963
732	24986	315895
733	25020	315860
734	25058	315871
735	25091	315823
736	25123	315770
737	25158	315740
738	25190	315684
739	25225	315654
740	25261	315655
741	25296	315627
742	25328	315564
743	25360	315503
744	25392	315443
745	25425	315393
746	25458	315354
747	25498	315385
748	25530	315324
749	25563	315287
750	25598	315264
751	25632	315229
752	25664	315170
753	25694	315084
754	25729	315055
755	25763	315019
756	25798	315004
757	25830	314935
758	25859	314844
759	25894	314828
760	25930	314806
761	25962	314750
762	25997	314730
763	26029	314675
764	26065	314662
765	26096	314586
766	26129	314541
767	26166	314547
768	26202	314531
769	26237	314508
770	26269	314450
771	26301	314394
772	26339	314406
773	26376	314403
774	26409	314355
775	26441	314297
776	26476	314277
777	26510	314241
778	26543	314193
779	26572	314101
780	26602	314014
781	26649	314135
782	26684	314119
783	26717	314065
784	26750	314024
785	26786	314007
786	26819	313957
787	26856	313961
788	26894	313971
789	26930	313956
790	26963	313914
791	26996	313872
792	27029	313823
793	27063	313791
794	27099	313773
795	27135	313765
796	27171	313751
797	27204	313700
798	27236	313644
799	27267	313576
800	27296	313485
801	27329	313433
802	27359	313361
803	27389	313275
804	27423	313246
805	27457	313207
806	27490	313164
807	27523	313112
808	27559	313107
809	27595	313086
810	27630	313063
811	27664	313034
812	27699	313010
813	27735	312990
814	27769	312958
815	27805	312947
816	27838	312906
817	27878	312931
818	27914	312919
819	27945	312858
820	27981	312843
821	28016	312819
822	28052	312801
823	28087	312775
824	28121	312742
825	28155	312709
826	28189	312674
827	28222	312633
828	28260	312639
829	28289	312551
830	28326	312543
831	28357	312473
832	28388	312408
833	28421	312360
834	28455	312326
835	28488	312285
836	28520	312225
837	28553	312179
838	28586	312136
839	28619	312091
840	28651	312029
841	28683	311976
842	28721	311988
843	28753	311923
844	28788	311907
845	28823	311884
846	28859	311871
847	28894	311844
848	28928	311810
849	28962	311772
850	28998	311760
851	29035	311757
852	29064	311672
853	29099	311640
854	29135	311625
855	29170	311603
856	29205	311585
857	29241	311563
858	29275	311530
859	29308	311491
860	29340	311431
861	29377	311425
862	29415	311437
863	29451	311419
864	29487	311408
865	29522	311383
866	29556	311352
867	29589	311300
868	29618	311216
869	29650	311159
870	29687	311154
871	29719	311095
872	29753	311061
873	29785	311013
874	29817	310952
875	29849	310902
876	29880	310835
877	29918	310835
878	29952	310805
879	29986	310770
880	30020	310736
881	30054	310701
882	30087	310657
883	30126	310665
884	30162	310652
885	30197	310627
886	30228	310569
887	30258	310492
888	30293	310466
889	30326	310416
890	30361	310391
891	30395	310360
892	30429	310329
893	30466	310319
894	30503	310321
895	30540	310315
896	30579	310333
897	30611	310270
898	30644	310225
899	30677	310183
900	30709	310132
901	30744	310098
902	30777	310061
903	30810	310013
904	30846	310003
905	30882	309986
906	30918	309964
907	30950	309915
908	30983	309868
909	31017	309829
910	31050	309789
911	31081	309725
912	31115	309688
913	31146	309628
914	31179	309577
915	31215	309567
916	31248	309518
917	31284	309504
918	31317	309462
919	31352	309435
920	31387	309408
921	31418	309343
922	31449	309283
923	31486	309279
924	31518	309226
925	31554	309210
926	31587	309159
927	31628	309193
928	31662	309165
929	31697	309132
930	31730	309093
931	31763	309042
932	31795	308992
933	31828	308945
934	31864	308929
935	31902	308936
936	31936	308903
937	31970	308871
938	32005	308841
939	32038	308800
940	32073	308771
941	32109	308751
942	32144	308731
943	32177	308686
944	32209	308634
945	32243	308599
946	32279	308583
947	32314	308554
948	32345	308496
949	32377	308434
950	32409	308384
951	32443	308345
952	32475	308298
953	32514	308309
954	32546	308256
955	32581	308224
956	32613	308170
957	32650	308172
958	32685	308145
959	32720	308119
960	32753	308071
961	32786	308027
962	32822	308015
963	32857	307991
964	32890	307942
965	32923	307899
966	32958	307872
967	32993	307845
968	33026	307808
969	33062	307786
970	33099	307777
971	33139	307805
972	33174	307777
973	33205	307711
974	33238	307670
975	33272	307633
976	33306	307596
977	33336	307531
978	33371	307499
979	33403	307452
980	33438	307419
981	33469	307364
982	33505	307341
983	33538	307302
984	33572	307268
985	33605	307225
986	33640	307191
987	33673	307153
988	33710	307142
989	33745	307113
990	33779	307079
991	33810	307019
992	33843	306980
993	33875	306922
